Time,Message,Exc String,Exc StackTrace
2014-08-28 10:42:06.0830,"Exception occurs when GetPendingQueueRecord list=0,Error: Login timeout expired","System.Data.OleDb.OleDbException: Login timeout expired
   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.GetPendingQueueRecord(CRetrieve objDO, String transactionTypeStringList)","   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.GetPendingQueueRecord(CRetrieve objDO, String transactionTypeStringList)"
2014-08-28 10:42:06.0830,"Exception occurs when GetPendingQueueRecord list=4,Error: Login timeout expired","System.Data.OleDb.OleDbException: Login timeout expired
   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.GetPendingQueueRecord(CRetrieve objDO, String transactionTypeStringList)","   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.GetPendingQueueRecord(CRetrieve objDO, String transactionTypeStringList)"
2014-08-28 10:42:06.0970,"Exception occurs when GetPendingQueueRecord list=3,Error: Login timeout expired","System.Data.OleDb.OleDbException: Login timeout expired
   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.GetPendingQueueRecord(CRetrieve objDO, String transactionTypeStringList)","   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.GetPendingQueueRecord(CRetrieve objDO, String transactionTypeStringList)"
2014-08-28 10:46:58.8988,DBHElp:Login timeout expired,"System.Data.OleDb.OleDbException: Login timeout expired
   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.UpdateTraceHistroyElinkTime(ElinkProcessType processType, CIMCTraceDataSource source, Int32 transactionID, DB_Transaction_Type dbType, Int32 timestamp)","   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.UpdateTraceHistroyElinkTime(ElinkProcessType processType, CIMCTraceDataSource source, Int32 transactionID, DB_Transaction_Type dbType, Int32 timestamp)"
2014-08-28 11:20:32.6819,DBHElp:Login timeout expired,"System.Data.OleDb.OleDbException: Login timeout expired
   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.UpdateTraceHistroyElinkTime(ElinkProcessType processType, CIMCTraceDataSource source, Int32 transactionID, DB_Transaction_Type dbType, Int32 timestamp)","   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.UpdateTraceHistroyElinkTime(ElinkProcessType processType, CIMCTraceDataSource source, Int32 transactionID, DB_Transaction_Type dbType, Int32 timestamp)"
2014-08-28 11:20:32.6959,DBHElp:Login timeout expired,"System.Data.OleDb.OleDbException: Login timeout expired
   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.SaveTraceHistroyElinkExportResult(DB_Transaction_Type dbType, Int32 transactionID, ElinkExportStatus status, Int32 timestamp, String fileName)","   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.SaveTraceHistroyElinkExportResult(DB_Transaction_Type dbType, Int32 transactionID, ElinkExportStatus status, Int32 timestamp, String fileName)"
2014-08-28 11:20:32.7760,"Exception occurs when RemoveQueueRecord id=1009, tyep =4. Error: Login timeout expired","System.Data.OleDb.OleDbException: Login timeout expired
   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.RemovePendingQueueRecord(CRetrieve objDO, Int32 transactionID, DB_Transaction_Type type)","   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.RemovePendingQueueRecord(CRetrieve objDO, Int32 transactionID, DB_Transaction_Type type)"
2014-08-28 11:20:32.7760,DBHElp:Login timeout expired,"System.Data.OleDb.OleDbException: Login timeout expired
   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.UpdateTraceHistroyElinkTime(ElinkProcessType processType, CIMCTraceDataSource source, Int32 transactionID, DB_Transaction_Type dbType, Int32 timestamp)","   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.UpdateTraceHistroyElinkTime(ElinkProcessType processType, CIMCTraceDataSource source, Int32 transactionID, DB_Transaction_Type dbType, Int32 timestamp)"
2014-08-28 11:20:32.9890,"Exception occurs when RemoveQueueRecord id=1009, tyep =3. Error: Login timeout expired","System.Data.OleDb.OleDbException: Login timeout expired
   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.RemovePendingQueueRecord(CRetrieve objDO, Int32 transactionID, DB_Transaction_Type type)","   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.RemovePendingQueueRecord(CRetrieve objDO, Int32 transactionID, DB_Transaction_Type type)"
2014-08-28 11:20:32.9930,DBHElp:Login timeout expired,"System.Data.OleDb.OleDbException: Login timeout expired
   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.UpdateTraceHistroyElinkTime(ElinkProcessType processType, CIMCTraceDataSource source, Int32 transactionID, DB_Transaction_Type dbType, Int32 timestamp)","   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.UpdateTraceHistroyElinkTime(ElinkProcessType processType, CIMCTraceDataSource source, Int32 transactionID, DB_Transaction_Type dbType, Int32 timestamp)"
2014-08-28 11:20:34.4060,DBHElp:Login timeout expired,"System.Data.OleDb.OleDbException: Login timeout expired
   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.UpdateTraceHistroyElinkTime(ElinkProcessType processType, CIMCTraceDataSource source, Int32 transactionID, DB_Transaction_Type dbType, Int32 timestamp)","   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.UpdateTraceHistroyElinkTime(ElinkProcessType processType, CIMCTraceDataSource source, Int32 transactionID, DB_Transaction_Type dbType, Int32 timestamp)"
2014-08-28 11:23:49.3532,DBHElp:Login timeout expired,"System.Data.OleDb.OleDbException: Login timeout expired
   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.UpdateTraceHistroyElinkTime(ElinkProcessType processType, CIMCTraceDataSource source, Int32 transactionID, DB_Transaction_Type dbType, Int32 timestamp)","   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.UpdateTraceHistroyElinkTime(ElinkProcessType processType, CIMCTraceDataSource source, Int32 transactionID, DB_Transaction_Type dbType, Int32 timestamp)"
2014-08-28 11:23:49.3692,DBHElp:Login timeout expired,"System.Data.OleDb.OleDbException: Login timeout expired
   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.SaveTraceHistroyElinkExportResult(DB_Transaction_Type dbType, Int32 transactionID, ElinkExportStatus status, Int32 timestamp, String fileName)","   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.SaveTraceHistroyElinkExportResult(DB_Transaction_Type dbType, Int32 transactionID, ElinkExportStatus status, Int32 timestamp, String fileName)"
2014-08-28 12:10:01.8158,"Exception occurs when RemoveQueueRecord id=1010, tyep =3. Error: Login timeout expired","System.Data.OleDb.OleDbException: Login timeout expired
   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.RemovePendingQueueRecord(CRetrieve objDO, Int32 transactionID, DB_Transaction_Type type)","   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.RemovePendingQueueRecord(CRetrieve objDO, Int32 transactionID, DB_Transaction_Type type)"
2014-08-28 12:10:04.8389,DBHElp:Login timeout expired,"System.Data.OleDb.OleDbException: Login timeout expired
   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.UpdateTraceHistroyElinkTime(ElinkProcessType processType, CIMCTraceDataSource source, Int32 transactionID, DB_Transaction_Type dbType, Int32 timestamp)","   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.UpdateTraceHistroyElinkTime(ElinkProcessType processType, CIMCTraceDataSource source, Int32 transactionID, DB_Transaction_Type dbType, Int32 timestamp)"
2014-08-28 12:10:34.7327,DBHElp:Login timeout expired,"System.Data.OleDb.OleDbException: Login timeout expired
   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.SaveTraceHistroyElinkExportResult(DB_Transaction_Type dbType, Int32 transactionID, ElinkExportStatus status, Int32 timestamp, String fileName)","   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.SaveTraceHistroyElinkExportResult(DB_Transaction_Type dbType, Int32 transactionID, ElinkExportStatus status, Int32 timestamp, String fileName)"
2014-08-28 12:11:52.2271,DBHElp:Login timeout expired,"System.Data.OleDb.OleDbException: Login timeout expired
   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.UpdateTraceHistroyElinkTime(ElinkProcessType processType, CIMCTraceDataSource source, Int32 transactionID, DB_Transaction_Type dbType, Int32 timestamp)","   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.UpdateTraceHistroyElinkTime(ElinkProcessType processType, CIMCTraceDataSource source, Int32 transactionID, DB_Transaction_Type dbType, Int32 timestamp)"
2014-08-28 13:18:51.9840,DBHElp:Login timeout expired,"System.Data.OleDb.OleDbException: Login timeout expired
   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.UpdateTraceHistroyElinkTime(ElinkProcessType processType, CIMCTraceDataSource source, Int32 transactionID, DB_Transaction_Type dbType, Int32 timestamp)","   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.UpdateTraceHistroyElinkTime(ElinkProcessType processType, CIMCTraceDataSource source, Int32 transactionID, DB_Transaction_Type dbType, Int32 timestamp)"
Time,Message,Exc String,Exc StackTrace
2014-08-28 14:22:45.4541,DBHElp:[DBNETLIB][ConnectionOpen (PreLoginHandshake()).]General network error. Check your network documentation.,"System.Data.OleDb.OleDbException: [DBNETLIB][ConnectionOpen (PreLoginHandshake()).]General network error. Check your network documentation.
   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.UpdateTraceHistroyElinkTime(ElinkProcessType processType, CIMCTraceDataSource source, Int32 transactionID, DB_Transaction_Type dbType, Int32 timestamp)","   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.UpdateTraceHistroyElinkTime(ElinkProcessType processType, CIMCTraceDataSource source, Int32 transactionID, DB_Transaction_Type dbType, Int32 timestamp)"
Time,Message,Exc String,Exc StackTrace
2014-08-28 16:17:12.8249,"Exception occurs when RemoveQueueRecord id=11014, tyep =0. Error: [DBNETLIB][ConnectionOpen (PreLoginHandshake()).]General network error. Check your network documentation.","System.Data.OleDb.OleDbException: [DBNETLIB][ConnectionOpen (PreLoginHandshake()).]General network error. Check your network documentation.
   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.RemovePendingQueueRecord(CRetrieve objDO, Int32 transactionID, DB_Transaction_Type type)","   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.RemovePendingQueueRecord(CRetrieve objDO, Int32 transactionID, DB_Transaction_Type type)"
2014-08-28 16:17:53.8793,DBHElp:Login timeout expired,"System.Data.OleDb.OleDbException: Login timeout expired
   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.UpdateTraceHistroyElinkTime(ElinkProcessType processType, CIMCTraceDataSource source, Int32 transactionID, DB_Transaction_Type dbType, Int32 timestamp)","   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.UpdateTraceHistroyElinkTime(ElinkProcessType processType, CIMCTraceDataSource source, Int32 transactionID, DB_Transaction_Type dbType, Int32 timestamp)"
Time,Message,Exc String,Exc StackTrace
2014-08-28 16:41:30.4841,"Exception occurs when RemoveQueueRecord id=21014, tyep =0. Error: Login timeout expired","System.Data.OleDb.OleDbException: Login timeout expired
   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.RemovePendingQueueRecord(CRetrieve objDO, Int32 transactionID, DB_Transaction_Type type)","   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.RemovePendingQueueRecord(CRetrieve objDO, Int32 transactionID, DB_Transaction_Type type)"
2014-08-28 16:41:31.4882,DBHElp:Login timeout expired,"System.Data.OleDb.OleDbException: Login timeout expired
   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.UpdateTraceHistroyElinkTime(ElinkProcessType processType, CIMCTraceDataSource source, Int32 transactionID, DB_Transaction_Type dbType, Int32 timestamp)","   at DataObjects.CRetrieve.ExecSP(OleDbType[] objDataType, Object[] objValues)
   at UtilLibrary.CommonDBHelp.UpdateTraceHistroyElinkTime(ElinkProcessType processType, CIMCTraceDataSource source, Int32 transactionID, DB_Transaction_Type dbType, Int32 timestamp)"
